Text,Language
"Mara hio hio, masomething ka scales zikadunda from macho za Saul, na akaanza kucheki tena. Akarauka akabaptiziwa,",Sheng
"Baada ya mango, akaget nguvu zake tena. So Saulo akaspend masiku kadhaa na majenerali wa JC pale Damascus.",Sheng
Mara moja akabegin ku unleash neno kwa synagogue vile that JC njo the Son wa sir Godi.,Sheng
"Wadhii wote wenye walimskia walikuwa in shock hadi wakauliza, ""si huyu njo dude alibring mayhem huko Jerusaa kati ya wadhii wenye wali call on the name? Na Bado. Si",Sheng
"alikam hapa kushika wengine ka ma prisoners wa ma high priest?""",Sheng
"Anyway, Saulo alizidi, hadi akagrow more powerful na kushangaza wayahudi walikuwa wakipoleaga Damascus kwa kuwa provia that enyewe JC njo the Christ.",Sheng
"Baada ya madays mingi kupita, wayahudi wakaplot kum assasinate,",Sheng
Lakini Saul akamesea plot yao. Usiku na mchana walimsurvey gate za jiji njo wapate kum murder.,Sheng
Lakini mafans wakamsafirisha usiku wakamshusha ki clandestine ndani ya kikapu kupitia kampenyo kwa wall.,Sheng
"Vile ali arrive Jerusa, alitry kujoin ma disciple wengine kikaumana, walikuwa bado wamegwaya juu yake na historia yake, hawangeamini ati saa alikuwa disciple cha ukwela.",Sheng
"Lakini Barnabas akamchukua akampeleka hadi kwa wale mapapa wa church. Akawashow life story ya Saul, vile kwa msafara kuishia Damascusalikuwa amecheki Bwana Yesu",Sheng
"na hadi vile Jesus alimbongesha, alafu vile akiwa Damascus alikuwa amedunga injili na mioto bila fear in the name of Jesus.",Sheng
So Saulo akapoleaga nao wakiishia maziara bila stress Jerusa wakipreach ki harden Â kwa ile jina ya Jesus.,Sheng
"Alibonga na kuletana kwa debate na wayahudi wa origin ya greece, lakini majamaa wakatry kum mada.",Sheng
"Vile ma bruzza walimesea iyo plot, walimkwachu na kumpeleka hadi Caesarea hadi wakamtuma off majuu hadi Tarsus.",Sheng
"Church yote places zote Judea, Galilee na Samaria walienjoy time ya amani. Ikaongezewa strength na encouragement by Holy Spirit, ikagrow namba ya mamemba, wakiishi kwa fear na kurespect Sir Godi. ",Sheng
"Vile Peter ali safiri hapa na pale kwa nchi, aliishia kuvisit wadhii saints huko Lydda.",Sheng
"Hapo akaget jamaa aliitwa Aeneas, mse paralytic na alikuwaga amelazwa bed miaka nane.",Sheng
"Peter akamshow,""Aeneas, Jesus Christ anakuheal. Rauka ushughulikie mat yako."" Mara hio hio Aeneas akarauka.",Sheng
"Wananchi wa Lydda na Sharon walimcheki hivi, wakaamua ni idhaa ya kuokoka na kumesea sir Godi.",Sheng
"Pale Joppa kulikuwa na disciple fulani kwa jina Tabitha(Ukiitranslate, ni Dorcas), alikuwaga on the daily ana do stuff poa na akihelp wasee msoto.",Sheng
"Saa iyo tu maidhaa idhaa akakuwa msick hadi akakick, body yake ikaoshwa halafu ika placeiwa kwa room fulani upstairs.",Sheng
"Lydda ilikuwa tu place karibu na Jopa; kwa hivo vile ma disciple waliskia ati Pitaa ako Lydda, wakamtumania teke, maboy wawili kumwuliza, ""Please, ebu tokezea mara hio hio!""",Sheng
"Pitaa akachomoka nao, na vile alidondoka pale, alipelekwa upstairs kwa ile room. Widows wote walimzunguka tu na ma ngwee, wakinshow zile gowns na makladi that Dorcas alikuwa amewasukia vile alikuwa bado alive nao.",Sheng
"Pitaa akawafukuza kwa room, akashuka kwa magoti akapray. Akapinduka kucheki yule mathe maiti, akasema, ""Tabitha, ebu rauka."" Dada akafungua macho aisee! akacheki",Sheng
Pitaa aka sit up.,Sheng
Akamchukua na mkono akamhelp kustand kwa miguu yake. Kisha akaita ma belivers na wajane akampresent kwao akiwa alive.,Sheng
"Story ikasambazwa Joppa yothes kupitia duru za kuaminika mse wangu, hadi wasee umati wakaaminia sir Godi.",Sheng
"Of course kwa ziara ya mbe, Josee aliwashow mabruzza wake his real self, na Pharaoh akajifunza stori ya famo ya man Josee.",Sheng
"After hapo, Josee alitumanisha mzae wake Jacob aletwe na hadi famo yake nzima, wasee Sevente faee wote.",Sheng
"Halo njo Jacob akaishia down hadi Egypt, place ye na wahenga walidie.",Sheng
"Maiti zao tu njo zilirudishwa hadi Shechem na kuwekwa ndani ya grave yenye buzzenga Abraham alikuwa ameboti from mavijanaa wa Hamor pale tu Shechem, wakamkanja mundee fulani.",Sheng
"Sa ikawa isVipi! Maidhaa zimeshafika za Sir Godi Ku come through na promise yake kwa Abraham, hesabu ya wadhii wetu Egypt ilikuwa juu kinyama.",Sheng
Sonkwo fulani {politician sana} mwenye hakumesea any ju ya Man Josee akarauka kutawala Egypt.,Sheng
"Akadeal kimangoto vi excess na mamtu wetu na akawa oppress wahenga by kuwa force watupe watoi wao, wenye walikuwa wamezaliwa tu ati njo wadedi.",Sheng
"""Mara iyo iyo Mosee akaboniwa, na ye hakuwa katoi ordinaree."" Miezi tatu, walim take care kwa hao ya fadhe wake.",Sheng
"Vile aliwekwa nje, dotee wa Sonkwo wa hiyo day, pharaoh akamkwachu na kulea ka mtoi wake personal.",Sheng
"Mose akaishia chuo za ki barbie za them days, akashoiwa kismat yote ya ma Egyptians.Ikabidi lugha yake ni mambo yote, na pia ma action zikakuwa juu.",Sheng
"""Vile Mose alidunga forty, alidecide tu siku moja kuvisit wasee wake ma Israelites.",Sheng
"Akacheki mmoja wao amehandwa na Mu egyptian mbaya, so ya akaishia kumwokolea na katika ile hali akamlipishia kwa kumada mu egyptian.",Sheng
"Mose alikuwa anaunganisha ati mamtus wake wangemesea that Sir Godi alikuwa anam use kuwaokolea, lakini hawakunyita.",Sheng
"Siku next Mose akapatana na ma israelite mbe wikifungulia war. Akatry kubring peace talks akiwashow, 'Maboy, nyi mi ma bro, niaje mmeamua kuumizana.?'",Sheng
"Lakini yule first bondi kati yao akapush Mosee kando akimshow,' Tangu lini. Nani alikumake dozi ju yetu ati ukuwe njo judge?",Sheng
"Ama umeplani kunimada ka yule mse wa jana wa egypt?""",Sheng
"Sa katika hizo madays, vile namba ya mamemba ilikuwa ikiongezeka, wayahudi wenye walitokezeaga Greece wakazusha sana ju ya wayahudi mahebrew- ati ju ma widows walikuwa wakilengwa katika ile projo ya kusambaziwa dishi daily.",Sheng
"Ju ya hiyo food scandal, wale wadhii disciples twelve wote tugezza wakagazza wakisay niaje,"" Haiwezi kuwa right kwetu ati tulenge huduma ya word ya Sir Godi njo tuanze kukimbizana na order za dishi kwa matebo.",Sheng
"Mabruzza, chagueni mtu saba kati yenu wenye wanameseka kuwa wamejazwa na Roho na hekima. Tutapeana hii janta na responsibility yote kwao",Sheng
"na tutaweka attention yetu kwa maombi na huduma ya word.""",Sheng
"Hii proposal ilikuwa smarta, ikafurahisha wadhii wa group yote. Wakachagua Steve, mse amejaa imani vifiti na mwenye ako na Holy Spirit; pia Phillo, Procorus, Nicanor, Timon, Parmenas na  Nico toka Antioch, mse aliconvert to Judaism.",Sheng
"Wakapresent hawa wadhii kwa ma apostles, wakawaombea na kuwawekelea mikono.",Sheng
"So word ya Sir Godi ikasambaa. Ile namba ya wafuasi Jerusa ikazidi kujaajaa chap chap, na rende bwaku ya mapriests wakakuwa obedient kwa the faith.",Sheng
"Sa Stevo, mdhii alikuwa amejawa na grace na nguvu  ya sir Godi vinomient, alikuwa aki do ma signs miraculous sana kati ya wadhii.",Sheng
"Lakini pia opposition ikatokea toka kwa mamemba wa synagogue ya wadhii free (Ka vile ilimeseka) - wayahudi wa Cyrene na Alexandria pia tena wadhii wa Cilicia na Asia. Hawa wasee walianza kuzua arguments na Stevo,",Sheng
lakini hawengemake kutoboa wisdom yake ama yule Roho aliongelea kupitia.,Sheng
"Kisha wakaconvince wadhii in secret wakam waseme, ""Tumeskia Stevo akibonga maneno za blasphemy against Mose na against Sir Godi.""",Sheng
"So wakazua wadhii na wazae na kuwachokora, pia pamoja na mamode wa law. Wakakwachu Stevo na kumleta mbele ya Sanhedrin.",Sheng
"Wakaproduce mawitness wa uwongo wenye walitestify, ""Huyu Chali hawachagi kubonga against Holy spirit na against sheria.",Sheng
"Ju tumesha skia akinego ati huyu Jesus wa Nazareth atadestroy hii place nakubadilisha customs za Mose zenye aligeana down kwetu.""",Sheng
"Wote wenye walikuwa wakipolea kwa Sanhedrin wakacheki Stevo kwa makini, na wakacheki that face yake ilikuwa ka face ya Angel.",Sheng
"Sa Jamaa mmoja anaitwa Ananias, pamoja na wife wake Sapphira, pia walikinda kipande ya maburungo zao.",Sheng
"Bado wife wake akimesea kabisa Ananias akapiga operation ya kiasi ya hizo doh kando za kujipanga nazo, lakini akaletatherest akaseti kwa miguu za ma apostles.",Sheng
"Manze Peter akabonga, ""Ananias niaje shaito amejaa kwa heart yako ivo hadi umepanga Holy spirit mauongo na ukaji wekea kiasi yaile munde uliget from kuuza shake yenu?",Sheng
"Si ilikuwaga yako bafore ikindwe? Na vile ilikindwa,simunde ilikuwa yakop ku do chenye ungetaka? Ni what ilikufanya u think ku do kitu ka iyo?Hujadanganya wasee umedanganya sir Godi.""",Sheng
"Vile Ananias aliskia ivo, akadunda down akakick. Na njeve meja ikakwachu wadhii wote wenye waliskizia chenye kilihappen.",Sheng
"Kisha mavijanaa chali wakakam mbele, wakafunika body yake, wakambeba wakamzika.",Sheng
"Kedo masaa matatu bahadayes waif akatokezea, na hakumesea ni nini kilikuwa kimehappen.",Sheng
"Peter akamwuliza niaje, ""Nishow je? Hii njo ile price yenye wewe na Ananias mliget for iyo shake?"" Waif akasema,""Eeh, hiyo njo price yake.""",Sheng
"Pitaa akamshow niaje, ""Mbona mli agree kutest Spirit wa sir Godi? Cheki! Zile miguu za majamaa wali bury hazi wako ziko kwa dooa,na watakubeba wewe pia.""",Sheng
"Hapo hapo hiyo maithaa akadunda down kwa miguu yake akadedi. Kisha wale jamaa wa yankee wakakam ndani na, wakimget amededi, wakambeba nje na kumzika beside hazi wake.",Sheng
Njeve meja ikakwachu kanisa mzima na wote wenye waliskia jua ya hizi vitu.,Sheng
Ma apostles waka-perform ishara mob na mawonders kati ya wadhii.,Sheng
"hakuna msealijaribu kuwa join,hata ingawa walikuwa wamedungwa respect na wadhii.",Sheng
"Na though ilikuwa hivo, wasee zaidi na zaidi majamaa na ma dem waliamini sir Godi na wakaongezeka kwa namba yao.",Sheng
"Ju ya hiyo stori,wadhi walileta wasee sick hadi kwa streetsnakuwaweka kwama bed na ma mat njo at least shadow ya Peter ianguke kwa wasee kiasi vile alikuwa akipita.",Sheng
"Rende ika gather pia toka kwa ma tao zenye zimezunguka Jerusa, wakileta wadhii wao wa sick na wale  wameteswa na ma shaito,nahao wote wakakuwa healed.",Sheng
"Kisha wale mahigh priest na wadhi wote wasaidizi wake, wenyewalikuwa ma memba wa ile rende ya ma sadduccee wakajawa na wivu.",Sheng
Wakawa arrest na kuwatupa Jail na kuwaseti kwa ile jela public.,Sheng
Lakini timeza usiku malaika wa sir Godi akafungua doaa za jela na kuwa leta nje.,Sheng
"Akawashow,""ishieni mkasimame ndani ya verandah za temple, mkawashow hawa wadhi message full ya hii life mpya.""",Sheng
"Kufika ngware wakadonjo kwa veranda za temple, vile tu walishoiwa, wakaanza kuteach wadhii.Vile high priest na wasaidizi wake walifika, wakaita pamoja ile sanhedrin - full house assembly ya wazae wa Israel- na wakatumanisha jela wale apostles waitwe.",Sheng
"Lakini kuarrive ivi kwa jela,ma mr. officer hawakuwaget huko. So wakaishia back kuripoti,",Sheng
"""Tuliget jela imefungwa vi secure, pamoja na maguards kustand kwa doaa; lakini vile tuliopen milango, hatukuget mse ndani.""",Sheng
"Kuskia hii ripoti, capuu wa mabanga wa temple na ma priest dozi wakatatizika, waka wonder kwanini nini inaweza kuwa ilitokezea.",Sheng
"Kisha mdhii fulani akatokezea na kudai, ""Cheki! Wale majamaa mliweka ndani ya jela wana stand ndani ya temple wakiteach wadhii.""",Sheng
"kwa hiyo stori, capuu akaishia na ma mr. ofisa na kuletaapostles. Hawaku use force, ju waliogopa ati wasee wangewapiga mawe.",Sheng
"Vile waliletama apostles, wakawamake wa appear mbele ya sanhedrin kuulizwa maswali na high priest",Sheng
"Akasema, ""tuligeiana ma orders strict msi teach na hii jina,lakini mmejaza Jerusa na teachings zenu na mko determined ku tumake guilty of blood ya huyu jamaa.""",Sheng
"Pitaa na wale apostles wengine wakareply: ""Lazima tu tuobey sir Godi kuliko wadhii!",Sheng
Sir Godi wa mambuyuz wetu aliraise JC toka kwa the dead- mwenye mlimada kwa kumhang kwa mti.,Sheng
Sir Godi alimuinua juu hadi kwa mkono wake wa right ka Prince sonkwo na mwokozi njo aweze geiana repentance na kusameheana kwa dhambi za Israel.,Sheng
"Si ni ma witness wa izi vitu, na pia Holy spirit, mwenyesir Godi amesha geiana kwa wale wanamu obey.""",Sheng
"Vile waliskia hivi, wakajam mbaya na kudai kuwamada.",Sheng
"Lakini mpharisayo fulani alimeseka ka Gamaliel, modee wa power wa sheria, mwenye alidungwa respect na wasee wote,akasimama kati kati ya sanhedrin nakudai wale majamaa watoke nje kiasi.",Sheng
"Kisha ye akawadunga speech:""Majamaa waIsrael, consider vi carefully chenye mna intend ku doiya hawa wadhii.",Sheng
"Time fulani si mbali sana Theudas alitokezea, anadai ati yeni somebody, na ka wadhii soo nne wakajipanga na yeye.Alimadwa, wadhi wotemafans wake wakasambazwa, ikafikia zero.",Sheng
"After yeye, Judas, jamaa wa Galilee akatokezea zile days za census aka lead wadhi kadhaa kwa revolution. Ye pia alidedishwa, na mafans wake wote waka scatter.",Sheng
Ma priest na hadi capi wa mabanga wa temple na ma sadducees wakakam up kwa Pitaa na Johnie vile walikuwa wakibonga na wasee.,Sheng
Walikuwa wameumwa sana ati ma apostles wanabonga wakifunza wadhii na kudai kwa jina la Yesu ati kuna kurauka kwa the dead.,Sheng
"So bila kuwaweka, walishika Pitaa na Johnie na ju ilikuwa ma evening, waliwatupa jail hadi day next.",Sheng
"Lakini wadhii wengi wenye waliskia hiyo message walibelieve, na ile number ya wadhii ma member ikagrow hadi five k.",Sheng
"Day ya next masonkwo wanarule, wazae na maodijo wa sheria wakakutana Jerusa.",Sheng
"Annas yule high priest alikuwaga pale, pia Caiaphashakuhata, Johnie, Alexander na wadhii wengine majamaa wa famo ya the high priest.",Sheng
"Wakahave Peter aletwe pamoja na Johnie mbele yao na wakaanza kuwadunga maswali: ""Na powergani ama jina gani mna do ivi?""",Sheng
"Kisha Peter, akiwa amejazwa na holyspirit, akadai kwao: ""Ma rulers na wazaewa wadhii!",Sheng
"Ka tuna calliwa tutoe report leo ati niaje tulioneshana kindness kwa jamaa cripple na tunaulizwa niaje vile ali healiwa,",Sheng
"kisha jueni ivi, nyi na wadhii wote wasee wa israel:ni kwa jina la Yesu Kristo yule jamaawa Nazareth,mwenyemlicrucify lakini mwenye sir Godi aliraise from the dead,that huyu jamaa anastand mbele yenu akiwa healed.",Sheng
"Yeye njo "" ' ile jiwe, ma contractor wa ku build mbanyu mlichuja, yenye sasa chenki njo jiwe ya korna, yenye inapimanisha zingine.'",Sheng
"Wokovu haipatikani kwa mse mwingine,ju hanaku jina ingine chini yaheaven yenye imepeanwa kwawadhii by which tu ni lazima wasave-ike.",Sheng
"Vile walicheki the courage ya Peter na Johnie na wakamesea ati hawa wadhii walikuwa hawajafika shule kusoma, wananchi ordinaree, walishangazwa meja hadi ikabidi wametake note ati hawa wajamaa walikuwaga wame hangout na JC.",Sheng
"Lakini ju pia walikuwa wakicheki jamaa mwenye alipona amestand pale pale nao, hanaku tuki wangebonga.",Sheng
"So waka waamrisha wakitoe from hiyo meeting iliitwa sanhedrin, njo at least wazae wado ka consultation ki siri siri.",Sheng
"Wakaulizana niaje,""Tuta do what na hawa wadhii?Kila msee mwenye anapoleaga Jerusa ashamesea kuwa hawa ma chali wame do miracle ingine tu outsnadingtumbaya, hatuwezi kwara.",Sheng
"Lakini njo tusiwaweke na ku prevent hii something isi spread zaidi kati ya wadhii, lazima tuwapee onyo ingine kali wasibonge kwa mse any na hii name.""",Sheng
So wakawa call ndani tena na kuwa command wasibonge na hiyo jina ama ku teach kabisa na the name ya Jesus.,Sheng
"Lakini Peter na Johnie wakashow kitu iko,""Kuweni ma judge nyi wenyewekama nipoa kwa macho ya sir Godi tukiwaobey kuliko sir Godi.",Sheng
"Ju si hatuwezi jizuia kubonga ju ya zile drama tumecheki na kuskia.""",Sheng
"Sa baada ya vitisho wakawaachilia ku go. Hawange decide vile ya kuwapunish,ju wadhii wote walikuwa wakipraise sir Godi ju ya chenye kilikuwa kimehappen.",Sheng
Ju yule boy mwenye aliponywa vi miraculously alikuwa over miaka forty.,Sheng
"Vile waliget release yao hivi, Peter na Johnie waliishia back kwa wadhii wao na kureport kila kitu chenye priest masonkwo na wazae walikuwa wamewashow.",Sheng
"Vile waliskia ivi, wakapaza sauti zao tugezza wakipray sir Godi.Wakasema niaje,""Mtukufu bwana, ume make heaven na earth na sea, na kila kitu in them.",Sheng
